record_id,study,trial_or_accession,population,design,arm,n,schedule_or_sampling,endpoint,landmark_week,estimate,unit,numerator,denominator,ci_level,ci_low,ci_high,comparison_effect,comparator,qualifier,provenance_url
opacin_neo_b_radiologic_response,OpACIN-neo,NCT02977052,macroscopic resectable stage III melanoma,randomized open-label phase 2,arm B,30,ipilimumab 1 mg/kg plus nivolumab 3 mg/kg q3w x2; surgery at week 6,radiological_objective_response,6,57,percent,17,30,95,37,75,,none,RECIST objective response reported at week 6,https://pubmed.ncbi.nlm.nih.gov/31160251/
opacin_neo_b_toxicity,OpACIN-neo,NCT02977052,macroscopic resectable stage III melanoma,randomized open-label phase 2,arm B,30,ipilimumab 1 mg/kg plus nivolumab 3 mg/kg q3w x2; surgery at week 6,grade_3_4_immune_related_adverse_event,12,20,percent,6,30,,,,,none,Events within the first 12 weeks,https://pubmed.ncbi.nlm.nih.gov/31160251/
opacin_neo_c_path_response,OpACIN-neo,NCT02977052,macroscopic resectable stage III melanoma,randomized open-label phase 2,arm C,26,ipilimumab 3 mg/kg at weeks 0 and 3; nivolumab 3 mg/kg just after week-3 ipilimumab and at week 5; surgery at week 6,pathological_response,6,65,percent,17,26,95,44,83,,none,Published pRR with less than 50 percent viable tumor; includes MPR and partial pathological response; arm accrual closed early,https://pubmed.ncbi.nlm.nih.gov/31160251/
opacin_neo_c_mpr,OpACIN-neo,NCT02977052,macroscopic resectable stage III melanoma,randomized open-label phase 2,arm C,26,ipilimumab 3 mg/kg at weeks 0 and 3; nivolumab 3 mg/kg just after week-3 ipilimumab and at week 5; surgery at week 6,major_pathological_response,6,46.2,percent,12,26,,,,,none,MPR is 10 percent or less residual viable tumor and is a subset of pRR; arm accrual closed early,https://doi.org/10.1016/S1470-2045(19)30151-2
opacin_neo_c_radiologic_response,OpACIN-neo,NCT02977052,macroscopic resectable stage III melanoma,randomized open-label phase 2,arm C,26,ipilimumab 3 mg/kg at weeks 0 and 3; nivolumab 3 mg/kg just after week-3 ipilimumab and at week 5; surgery at week 6,radiological_objective_response,6,35,percent,9,26,95,17,56,,none,RECIST objective response reported at week 6,https://pubmed.ncbi.nlm.nih.gov/31160251/
opacin_neo_c_toxicity,OpACIN-neo,NCT02977052,macroscopic resectable stage III melanoma,randomized open-label phase 2,arm C,26,ipilimumab 3 mg/kg at weeks 0 and 3; nivolumab 3 mg/kg just after week-3 ipilimumab and at week 5; surgery at week 6,grade_3_4_immune_related_adverse_event,12,50,percent,13,26,,,,,none,Events within the first 12 weeks; arm accrual closed early,https://pubmed.ncbi.nlm.nih.gov/31160251/
nadina_neoadj_mpr,NADINA,NCT04949113,macroscopic resectable stage III melanoma,randomized open-label phase 3,neoadjuvant,212,ipilimumab 80 mg plus nivolumab 240 mg q3w x2; surgery at week 6; response-driven adjuvant therapy,major_pathological_response,6,59.0,percent,125,212,,,,,none,Central review; MPR is 10 percent or less residual viable tumor,https://doi.org/10.1056/NEJMoa2402604
nadina_neoadj_primary_systemic_toxicity,NADINA,NCT04949113,macroscopic resectable stage III melanoma,randomized open-label phase 3,neoadjuvant,212,ipilimumab 80 mg plus nivolumab 240 mg q3w x2; surgery at week 6; response-driven adjuvant therapy,grade_3_or_higher_systemic_treatment_related_adverse_event,,29.7,percent,63,212,,,,,none,Primary analysis through January 12 2024; includes systemic treatment beyond the neoadjuvant window and is not a neoadjuvant-only rate,https://doi.org/10.1056/NEJMoa2402604
nadina_neoadj_12week_systemic_toxicity,NADINA,NCT04949113,macroscopic resectable stage III melanoma,randomized open-label phase 3,neoadjuvant,212,ipilimumab 80 mg plus nivolumab 240 mg q3w x2; surgery at week 6; response-driven adjuvant therapy,grade_3_or_higher_systemic_treatment_related_adverse_event_neoadjuvant_only,12,23.1,percent,,212,,,,,none,Occurred within the first 12 weeks and was therefore attributable solely to neoadjuvant treatment; numerator was not reported and is not back-calculated,https://doi.org/10.1056/NEJMoa2402604
nadina_neoadj_efs_12m,NADINA,NCT04949113,macroscopic resectable stage III melanoma,randomized open-label phase 3,neoadjuvant,212,ipilimumab 80 mg plus nivolumab 240 mg q3w x2; surgery at week 6; response-driven adjuvant therapy,event_free_survival,52,83.7,percent,,,99.9,73.8,94.8,adjusted HR 0.32 (99.9% CI 0.15-0.66),adjuvant arm,Intention-to-treat primary analysis; proportional-hazards assumption was violated,https://doi.org/10.1056/NEJMoa2402604
nadina_adjuvant_efs_12m,NADINA,NCT04949113,macroscopic resectable stage III melanoma,randomized open-label phase 3,adjuvant,211,upfront surgery; nivolumab 480 mg q4w x12 starting week 6 to 12,event_free_survival,52,57.2,percent,,,99.9,45.1,72.7,,none,Intention-to-treat primary analysis,https://doi.org/10.1056/NEJMoa2402604
nadina_neoadj_efs_24m,NADINA,NCT04949113,macroscopic resectable stage III melanoma,randomized open-label phase 3,neoadjuvant,212,ipilimumab 80 mg plus nivolumab 240 mg q3w x2; surgery at week 6; response-driven adjuvant therapy,event_free_survival,104,77.3,percent,,,,,,HR 0.40 (95% CI 0.28-0.57),adjuvant arm,Updated abstract at median 25 months follow-up and April 14 2025 cutoff,https://doi.org/10.1016/j.annonc.2025.09.069
nadina_adjuvant_efs_24m,NADINA,NCT04949113,macroscopic resectable stage III melanoma,randomized open-label phase 3,adjuvant,211,upfront surgery; nivolumab 480 mg q4w x12 starting week 6 to 12,event_free_survival,104,55.7,percent,,,,,,,none,Updated abstract at median 25 months follow-up and April 14 2025 cutoff,https://doi.org/10.1016/j.annonc.2025.09.069
nadina_neoadj_dmfs_24m,NADINA,NCT04949113,macroscopic resectable stage III melanoma,randomized open-label phase 3,neoadjuvant,212,ipilimumab 80 mg plus nivolumab 240 mg q3w x2; surgery at week 6; response-driven adjuvant therapy,distant_metastasis_free_survival,104,82.8,percent,,,,,,HR 0.43 (95% CI 0.29-0.64),adjuvant arm,Updated abstract at median 25 months follow-up and April 14 2025 cutoff,https://doi.org/10.1016/j.annonc.2025.09.069
nadina_adjuvant_dmfs_24m,NADINA,NCT04949113,macroscopic resectable stage III melanoma,randomized open-label phase 3,adjuvant,211,upfront surgery; nivolumab 480 mg q4w x12 starting week 6 to 12,distant_metastasis_free_survival,104,63.9,percent,,,,,,,none,Updated abstract at median 25 months follow-up and April 14 2025 cutoff,https://doi.org/10.1016/j.annonc.2025.09.069
nadina_neoadj_updated_toxicity,NADINA,NCT04949113,macroscopic resectable stage III melanoma,randomized open-label phase 3,neoadjuvant,212,ipilimumab 80 mg plus nivolumab 240 mg q3w x2; surgery at week 6; response-driven adjuvant therapy,grade_3_or_higher_systemic_treatment_related_adverse_event,,31.1,percent,,,,,,,none,Updated abstract after all 423 randomized patients reached end of treatment; arm safety denominator not reported in abstract,https://doi.org/10.1016/j.annonc.2025.09.069
nadina_adjuvant_updated_toxicity,NADINA,NCT04949113,macroscopic resectable stage III melanoma,randomized open-label phase 3,adjuvant,211,upfront surgery; nivolumab 480 mg q4w x12 starting week 6 to 12,grade_3_or_higher_systemic_treatment_related_adverse_event,,15.9,percent,,,,,,,none,Updated abstract after all 423 randomized patients reached end of treatment; arm safety denominator not reported in abstract,https://doi.org/10.1016/j.annonc.2025.09.069
